Ticker,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15
ALEC,0.004156596236611307,-0.004246335038695492,0.03204634673398761,-0.0005568854527294911,-0.016506295704609028,0.034976661403003984,0.034784883342839815,-0.031234209697809538,0.009870299918358456,0.013768997012333474,-0.024143171863422144,0.023970600870263484,-0.04134906842473002,-0.026934788076286,-0.002654222547207881
ALLO,-0.013251700609122431,-0.01306333564359156,0.017238694399782983,-0.01925622186877063,-0.00085181049118962,0.007652263474094021,0.04444375401635658,0.0070150133465770054,-0.0001748925271067535,0.024248337036767084,0.03608192754631183,0.014074492727424216,-0.06259267689824467,-0.018498608542612868,0.015278412493797362
ALLT,0.006914301551555128,0.009476209656645147,-0.02878414766428375,0.01568613478337899,0.013455621776258406,-0.011016044859672511,-0.017675397129073605,0.008973933113441968,0.0211891419322535,0.038365272396358535,-0.01779915624179218,-0.004564433089026425,0.014131941626415588,-0.012136164287422601,0.031080039566246186
ALOT,-0.012488478611582426,-0.004696904411203017,-0.05065049497547787,-0.011399577920979335,0.014487196427612934,-0.0007451904707025201,-0.030138470377088257,0.014621325083760194,-0.014782621365615856,0.023942291269881052,0.024739453005104307,0.006063830693164372,0.02734798375834318,-0.017547015966193825,0.0037048822471370084
ALOY,-0.008234584860948755,-0.0005439047894348461,-0.008178770969499776,0.021313328943994275,0.009457320060663967,0.02218980274650476,0.013084469773898048,-0.020416689666587755,0.0018379915625147316,-0.0331370962527,0.023526012987740975,0.012835646333222869,0.008426495911524483,-0.023136136801971616,-0.003220879929807771
ALRS,0.020846319080788746,-0.022196762106146593,0.005625681917029754,0.019156861421106956,-0.019007110577236034,0.006916793501295735,-0.009328024760831069,-0.05271762470036169,-0.00564629397106507,-0.009928072293794745,-0.005016253751142457,-0.0269306341508589,0.04974660922346038,-0.01923316229879326,-0.01701611118094356
ALT,-0.0006790189307932484,-0.015084524528804506,0.0257018377006226,-0.019510206417932024,-0.00890272739821346,-0.011515208535983805,0.0012046004706213961,0.02586766963550497,0.048790543659828656,-0.0325783895495715,-0.012470666975063069,0.032661980032339326,-0.046705624722130155,-0.04066672798334915,0.04806522351776771
ALTO,0.00666996616396087,0.041272910860649124,0.019774808225081777,-0.011652702853616706,-0.0188378517194375,-0.012890378056084294,0.04416709055141829,-0.021193866840581006,0.01734747325784475,-0.06494680461340814,-0.042904750345324226,-0.012001473129096083,-0.007705180861629463,0.0016053198860970386,0.0002368048672505528
AMCX,0.005083229181765137,-0.013833544511893982,-0.00358426467211821,0.05126090304969525,-0.04242371004786434,-0.02216363544011215,0.052457575141345913,-0.02080922033498266,-0.018988482141025175,-0.044331523155685844,0.03792249234366448,0.01649274981237658,-0.02795872464229499,0.03793957946138073,-0.027752440246522403
AMPH,-0.006905048199203987,-0.006879448183406186,0.030944608958511678,0.021770257866005338,0.004277007762602849,-0.009555011607190574,0.025580576160892467,0.0061238893391727875,-0.01718751838548936,0.05807894174993024,-0.006830189088935536,0.003051345650672897,0.0009162074980471864,0.0002306536089264604,0.02799310730594518
