Ticker,Robotics & AI,AI Infrastructure,Clean Energy,Cybersecurity,Defense,Fintech,US Infrastructure,Agribusiness,Critical Minerals,Water,Timber & Forestry
RPD,-0.18629702749861432,0.04779032708036881,-0.35353388701397054,0.6981498579700309,0.15482688550605472,0.6300604303474471,-0.2393789466070374,-0.030080728437159792,-0.3105051580440195,-0.20688066228962365,-0.21459932305749324
RRGB,-0.18267556092862347,-0.04723947608761079,-0.3321165381999321,0.0347759733533327,0.11595498484541117,0.4945114469146306,-0.5696051768731988,-0.1725735684175866,-0.08984987615181754,-0.030701396578786243,0.032860077700975675
RSSS,-0.041316856132403365,-0.2818268716848802,-0.13499323101674324,0.17101540185746508,0.17930488854544147,0.6312638520547391,-0.15690243618453437,-0.189886016654103,0.23231807795620477,0.039809209675548865,0.3569851728949888
RVSB,-0.3250257485147919,0.010449387153407824,-0.19333097257443915,0.4983630739716839,0.0652952166102916,0.11025479520587954,-0.20101210159742805,-0.017710096117035275,-0.0487510540569236,-0.005049249727474602,0.0091637244523142
RYAM,0.21689001223884122,-0.039836718501780104,0.30413556248842544,0.24606006264804314,0.12441226422975121,0.032472789607334546,0.020650383084639255,0.4061739848732003,0.5154868474722012,0.10546593741753561,0.6261185870257582
RZLT,-0.003216335007127792,-0.14150211146668012,0.012082981179212228,-0.10952718914991143,-0.16787381007083238,0.0650124176128466,-0.3460253190192475,-0.07991031490117324,0.15313681353758307,0.08827520136734934,0.24106989961535477
SANG,0.18002952589372712,-0.309870267502424,0.10799494424816868,-0.17500946866003125,0.46568532613657965,0.42019659210165217,0.12642013543855615,0.3362053965537441,0.3014004780835081,0.25177405202777914,0.37086643098691263
SB,-0.01098112456850271,0.05068365047537245,0.33609812473314477,-0.09306081194958465,-0.13274177202076215,-0.060660080865528015,-0.23147344817339416,0.30235365242745615,0.42083605558080023,-0.017391498291467782,0.14756581444448938
SBFG,-0.039282161234474706,-0.09093454530276156,-0.3145224403676518,-0.19226206763363948,0.24828402934358298,0.2564406405867891,-0.14824523987580623,-0.38452260182237585,-0.050432250149361695,0.1597643688500929,-0.015037107998469074
SCHL,0.03772096563291007,-0.15616092870068785,0.07132650094284122,-0.5442865630714346,0.15837619566612757,-0.03619815598362868,0.07895345385056467,0.05271457371433959,0.015313931864250842,0.06904219846305443,-0.20075269759524553
SCZM,0.38717209340205,0.29646644539967193,0.4823349019086993,0.33021335077091085,0.5433882675809057,0.16202637094655997,0.047383032591542286,0.20568787123663976,0.7227209289035831,0.4231341972537265,0.4690573476674285
SD,0.13851442537242398,0.13947435053757246,0.1430197999795221,0.03156954146411486,0.02516727763905666,0.008870104873726399,0.058070423325398746,0.21122232719255798,0.15441159493105902,-0.17243531773650703,-0.06979162960489659
SELF,-0.08438854287244073,0.09941199136341536,0.08329698930256162,-0.04778792378761911,-0.0350867500074591,0.29089626602369617,-0.07215359098591531,0.20620027591821743,-0.1685314493394277,-0.07488548749494674,-0.36225490087826084
SENS,-0.1391878527202965,0.3070252130721106,0.2869697283736571,-0.11893841014328535,-0.3699907610383256,-0.022172000719476274,-0.19666707188429988,-0.06700200336278636,0.13024873984436516,-0.04640546452783548,-0.15327744867072549
SFBC,-0.07093285270652336,0.21172146757680713,-0.2322162925822522,-0.14089790768357308,-0.11818349470877239,0.338223100419293,-0.1989661918471265,-0.29950788531555317,-0.0792061047542372,0.24294567571930586,-0.08609911006274899
SFIX,-0.30273634232836094,-0.12285669535079581,-0.38314053112323415,0.3421966246786899,-0.37307517996907913,0.3680216771263715,-0.397192774995618,-0.3513305155310259,-0.2785018846036508,-0.29093785370212943,-0.007294271361424006
SFST,-0.21582860257320696,-0.0870296989711035,-0.17818386758331123,-0.20483098808626118,0.17909838189355345,-0.02172771027276493,-0.08945192682677472,-0.24404410297721482,-0.22414634373524006,-0.08409941615630853,-0.42742844295194005
SGA,0.002244829531969995,-0.0439823870452004,0.07778830238196384,-0.5386260958683631,0.20705384147884898,-0.1574690577929942,-0.006485778475815603,-0.08491999279137812,0.23571370188167345,0.25668053460603735,0.041912418033573574
SGC,0.024351271978765222,-0.15709462797472823,0.3424955269689197,0.028989322519378254,0.32159845750592775,0.37978166563114707,-0.040449851547523515,0.21953007667995705,0.45907560991356866,0.14011206827135872,0.33674461923637217
SHBI,-0.03995529696628514,0.19622571992842658,-0.2123995964992886,0.31443355519977156,0.3490540386220718,0.09973194416364274,-0.03381438372730282,-0.3574385674054107,-0.23486160426452998,-0.0456248506037461,-0.27869408058687434
SHEN,-0.3800885118907774,-0.6029794743902098,-0.021077627937313867,-0.135942209127401,-0.0056100923498853626,-0.10939814772907779,-0.30230754756918427,0.2704907989703255,0.059632503981154245,-0.16795395560281004,-0.0562957418518558
