ticker,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15
IPAY,-0.034350618329795,-0.04620243803788042,-0.04972503650993879,0.1113664338288872,0.03790462102299227,-0.06361100340749769,-0.0065710598115211495,-0.004028221479946021,0.000997869293628456,-0.04061962412268722,0.03063269497944299,-0.00047528429276336224,0.032258069371394305,0.03555486937395831,-0.026056588371416185
IRBO,0.05596029931953145,-0.025230958189308584,-0.07583082930697234,-0.05717918468118737,0.00143437052276148,0.012396890934468434,0.020555761432686535,-0.02244588021504009,0.01158444068686755,-0.01626950183352125,-0.04967223619993762,0.0371901495448983,0.05128588057452089,0.007211668677453549,-0.00015978045919734767
ITA,-0.034852009428137015,0.04616840034953134,-0.04108569895015448,0.039920479705355054,0.0649078640123848,0.062599681475877,-0.03850107458915389,0.04124511765519888,-0.0378384167085156,0.02211456954871364,-0.03143289089735696,0.02859640796312255,0.1000178735727769,-0.03469228104628581,0.05709605111508431
IUSG,0.04844035934123164,0.0023192569686127772,-0.07469537133035102,-0.007141473265105185,-0.06925647959345839,-0.03197853042860102,-0.07616069148939238,-0.0027126651039820135,-0.024845273441236465,0.044658101101470664,0.0016603960251927513,0.07359070185245511,0.0008649098116577125,-0.02789048253800131,-0.04316118682287647
KRE,0.0114879716934528,-0.09715917559393505,0.01975517228087487,0.078414224465409,-0.04151661156485013,0.05637045935246074,-0.03722490502054788,-0.09031290025749422,0.0935641430292685,0.042016495662008144,-0.06218945093313444,-0.047483976238674105,0.02203332580664274,-0.017115347759122383,-0.03789355266264956
LIT,0.004624016873407436,0.007529560114305468,-0.019963170456590806,-0.060279661793500444,0.03669929256683181,-0.005289967501996073,0.055866395077312746,-0.0281274678139044,0.014830308173503325,-0.012095019188055719,0.007149382881083737,0.07037579033033439,0.00923138701357681,-0.007322607847342346,0.06015248274107064
MOO,-0.026782845641332386,0.03765364750433476,0.041701823866491766,-0.05241598540181935,0.09369109068225547,-0.0017088256835146786,0.04910039123045435,-0.046885195370051536,0.020713632540736035,-0.03593975926153338,0.011698353910259213,0.01622054357241408,0.03679774781328569,-0.0075371642389825515,0.06882426739970882
MTUM,0.006305542525785489,0.017969081412418843,-0.034128444495784005,-0.01681710231207967,0.00272149458530574,-4.265088910769782e-05,-0.05702682107724681,0.08435113422105865,0.039378360434415824,0.05769573237886697,-0.032454733715833385,0.025101841500598708,-0.025814863004878306,-0.010374908747645338,-0.027904227843581278
PAVE,0.001979578182560586,-0.010677381744250843,-0.009444459075138552,-0.0788997400036489,0.1445567193523777,0.07031157717385428,-0.10418519764508202,0.0190534638624474,-0.007128450690752093,-0.05172827630483289,0.04086270574438568,0.019370373387535424,-0.007727879810052012,-0.06864275223048133,0.02382894248385297
PBJ,-0.05898827222807566,0.023221026103926172,0.0849495181475913,-0.02985031737466216,-0.013455017699675624,0.05174741027838158,0.013826544871449256,0.035039267567301434,-0.00704717262512591,-0.03796511216924566,-0.030464603367736442,-0.08324465759777509,0.013022647960351342,-0.020769201121126388,-0.013174155974843955
PBW,0.0069908376137713946,0.012943332890871842,-0.03248205520623983,-0.0703906734855896,-0.005222216529142051,-0.0011836555675010445,0.027967826564606165,-0.01873328249151273,0.028510211141106055,-0.032385092565602985,-0.009391366007483212,0.04006218928955985,0.015258453753435664,-0.022099860923410514,0.07884240253756168
PHO,-0.06748648367533723,-0.06978167458727096,0.030692726998861553,-0.05511016827698947,0.09406752003019012,0.009101641150899831,-0.06332171412395425,-0.01657731040059342,-0.01954614789215935,-0.01535327441072699,-0.020490263401238138,0.0502372321638215,0.009046230179682554,0.021467791684297598,-0.014219596153092992
PPA,-0.04244964571783722,0.043733054784875755,-0.029668070857846316,0.025776938733019103,0.07625413462235872,0.0509475237690756,-0.05909561320404342,0.030004513919163936,-0.039951333952793024,0.030970660143897343,-0.045549886865819664,0.030644304212363974,0.10449107546890526,-0.048792785149281793,0.05542885354210401
QCLN,0.0064981170716446835,0.009583929161904325,-0.03903058039008838,-0.09259260389321368,-0.005449270528108191,-0.009564701850039777,0.0261080705523195,-0.023913820474732058,0.014614396696398316,-0.010360698505645619,-0.017556813821143564,0.00696832230498426,0.019740247409979247,0.004524927522143261,0.05841187002978352
QTUM,0.0454156168626273,-0.013701483160639065,-0.08598996250748572,-0.06997926311124876,0.006071091636103765,0.01036624602170351,0.014078439896860641,-0.029885827401939846,-0.03445643807875026,0.04652235978455058,-0.08027457577683966,-0.008104292863205208,0.06243288064231052,0.005406956851448088,0.035497740026756104
