rebalance_date,theme,ticker,weight
2021-12-31,Defense,GLRE,0.03333333333333333
2021-12-31,Defense,FISI,0.03333333333333333
2021-12-31,Defense,DAVA,0.03333333333333333
2021-12-31,Defense,HELE,0.03333333333333333
2021-12-31,Defense,CFBK,0.03333333333333333
2021-12-31,Defense,CBAN,0.03333333333333333
2021-12-31,Fintech,BCAL,0.03333333333333333
2021-12-31,Fintech,SELF,0.03333333333333333
2021-12-31,Fintech,CBAN,0.03333333333333333
2021-12-31,Fintech,LPRO,0.03333333333333333
2021-12-31,Fintech,HELE,0.03333333333333333
2021-12-31,Fintech,NECB,0.03333333333333333
2021-12-31,Fintech,CABO,0.03333333333333333
2021-12-31,Fintech,HY,0.03333333333333333
2021-12-31,Fintech,BBDC,0.03333333333333333
2021-12-31,Fintech,PDLB,0.03333333333333333
2021-12-31,Fintech,SMBK,0.03333333333333333
2021-12-31,Fintech,FEIM,0.03333333333333333
2021-12-31,Fintech,TAYD,0.03333333333333333
2021-12-31,Fintech,NAVI,0.03333333333333333
2021-12-31,Fintech,JOUT,0.03333333333333333
2021-12-31,Fintech,YEXT,0.03333333333333333
2021-12-31,Fintech,INTG,0.03333333333333333
2021-12-31,Fintech,RPD,0.03333333333333333
2021-12-31,Fintech,CZWI,0.03333333333333333
2021-12-31,Fintech,DAVA,0.03333333333333333
2021-12-31,Fintech,SFST,0.03333333333333333
2021-12-31,Fintech,GILT,0.03333333333333333
2021-12-31,Fintech,FRD,0.03333333333333333
2021-12-31,Fintech,TRAK,0.03333333333333333
2021-12-31,Fintech,GTN,0.03333333333333333
2021-12-31,Fintech,LOCO,0.03333333333333333
2021-12-31,Fintech,HOFT,0.03333333333333333
2021-12-31,Fintech,NC,0.03333333333333333
2021-12-31,Fintech,MED,0.03333333333333333
2021-12-31,Fintech,RPAY,0.03333333333333333
2021-12-31,Robotics & AI,MAGN,0.03333333333333333
2021-12-31,Robotics & AI,EBF,0.03333333333333333
2021-12-31,Robotics & AI,FRPH,0.03333333333333333
2021-12-31,Robotics & AI,TSBK,0.03333333333333333
2021-12-31,Robotics & AI,HY,0.03333333333333333
2021-12-31,Robotics & AI,CMCO,0.03333333333333333
2021-12-31,Robotics & AI,ULH,0.03333333333333333
2021-12-31,Robotics & AI,PCYO,0.03333333333333333
2021-12-31,Robotics & AI,MEI,0.03333333333333333
2021-12-31,Robotics & AI,PROV,0.03333333333333333
2021-12-31,Robotics & AI,WEYS,0.03333333333333333
2021-12-31,Robotics & AI,EVO,0.03333333333333333
2021-12-31,Robotics & AI,NUS,0.03333333333333333
2021-12-31,Robotics & AI,NWFL,0.03333333333333333
2021-12-31,Robotics & AI,BSET,0.03333333333333333
2021-12-31,Robotics & AI,TG,0.03333333333333333
2021-12-31,Robotics & AI,MAYS,0.03333333333333333
2021-12-31,Robotics & AI,CABO,0.03333333333333333
2021-12-31,Robotics & AI,AVD,0.03333333333333333
2021-12-31,Robotics & AI,ETD,0.03333333333333333
2021-12-31,Robotics & AI,HOFT,0.03333333333333333
2021-12-31,Robotics & AI,KVHI,0.03333333333333333
2021-12-31,Robotics & AI,OEC,0.03333333333333333
2021-12-31,Robotics & AI,ERII,0.03333333333333333
2021-12-31,Robotics & AI,VREX,0.03333333333333333
2021-12-31,Robotics & AI,KRO,0.03333333333333333
2021-12-31,Robotics & AI,OVLY,0.03333333333333333
2021-12-31,Robotics & AI,WNC,0.03333333333333333
2021-12-31,Robotics & AI,SHBI,0.03333333333333333
2021-12-31,Robotics & AI,JMSB,0.03333333333333333
2021-12-31,Timber & Forestry,EBF,0.03333333333333333
2021-12-31,Timber & Forestry,FRPH,0.03333333333333333
2021-12-31,Timber & Forestry,MAGN,0.03333333333333333
2021-12-31,Timber & Forestry,FWRD,0.03333333333333333
2021-12-31,Timber & Forestry,ULH,0.03333333333333333
2021-12-31,Timber & Forestry,TCX,0.03333333333333333
2021-12-31,Timber & Forestry,KFRC,0.03333333333333333
2021-12-31,Timber & Forestry,AVD,0.03333333333333333
2021-12-31,Timber & Forestry,FNLC,0.03333333333333333
2021-12-31,Timber & Forestry,FNRN,0.03333333333333333
2021-12-31,Timber & Forestry,PCYO,0.03333333333333333
2021-12-31,Timber & Forestry,NUS,0.03333333333333333
2021-12-31,Timber & Forestry,ERII,0.03333333333333333
2021-12-31,Timber & Forestry,HURC,0.03333333333333333
2021-12-31,Timber & Forestry,HY,0.03333333333333333
2021-12-31,Timber & Forestry,EVO,0.03333333333333333
2021-12-31,Timber & Forestry,HWBK,0.03333333333333333
2021-12-31,Timber & Forestry,PROV,0.03333333333333333
2021-12-31,Timber & Forestry,VLGEA,0.03333333333333333
2021-12-31,Timber & Forestry,SPOK,0.03333333333333333
2021-12-31,Timber & Forestry,MEI,0.03333333333333333
2021-12-31,Timber & Forestry,SELF,0.03333333333333333
2021-12-31,Timber & Forestry,NWFL,0.03333333333333333
2021-12-31,Timber & Forestry,JOUT,0.03333333333333333
2021-12-31,Timber & Forestry,CMCO,0.03333333333333333
2021-12-31,Timber & Forestry,VREX,0.03333333333333333
2021-12-31,Timber & Forestry,OEC,0.03333333333333333
2021-12-31,Timber & Forestry,OPBK,0.03333333333333333
2021-12-31,Timber & Forestry,KVHI,0.03333333333333333
2021-12-31,Timber & Forestry,UNB,0.03333333333333333
2021-12-31,US Infrastructure,EBF,0.03333333333333333
2021-12-31,US Infrastructure,FRPH,0.03333333333333333
2021-12-31,US Infrastructure,DGICA,0.03333333333333333
2021-12-31,US Infrastructure,TRST,0.03333333333333333
2021-12-31,US Infrastructure,ATLO,0.03333333333333333
2021-12-31,US Infrastructure,FWRD,0.03333333333333333
2021-12-31,US Infrastructure,GSBC,0.03333333333333333
2021-12-31,US Infrastructure,KFRC,0.03333333333333333
2021-12-31,US Infrastructure,GBLI,0.03333333333333333
2021-12-31,US Infrastructure,FRBA,0.03333333333333333
2021-12-31,US Infrastructure,LARK,0.03333333333333333
2021-12-31,US Infrastructure,HCKT,0.03333333333333333
2021-12-31,US Infrastructure,MHLA,0.03333333333333333
2021-12-31,US Infrastructure,FNLC,0.03333333333333333
2021-12-31,US Infrastructure,BMRC,0.03333333333333333
2021-12-31,US Infrastructure,FRAF,0.03333333333333333
2021-12-31,US Infrastructure,CIVB,0.03333333333333333
2021-12-31,US Infrastructure,HURC,0.03333333333333333
2021-12-31,US Infrastructure,WTBA,0.03333333333333333
2021-12-31,US Infrastructure,FISI,0.03333333333333333
2021-12-31,US Infrastructure,HRTG,0.03333333333333333
2021-12-31,US Infrastructure,CSV,0.03333333333333333
2021-12-31,US Infrastructure,IIIN,0.03333333333333333
2021-12-31,US Infrastructure,ACNB,0.03333333333333333
2021-12-31,US Infrastructure,TTEC,0.03333333333333333
2021-12-31,US Infrastructure,AVD,0.03333333333333333
2021-12-31,US Infrastructure,MRBK,0.03333333333333333
2021-12-31,US Infrastructure,GLRE,0.03333333333333333
2021-12-31,US Infrastructure,PKE,0.03333333333333333
2021-12-31,US Infrastructure,SHBI,0.03333333333333333
2021-12-31,Water,EBF,0.03333333333333333
2021-12-31,Water,NFBK,0.03333333333333333
2021-12-31,Water,FNLC,0.03333333333333333
2021-12-31,Water,CIVB,0.03333333333333333
2021-12-31,Water,PCYO,0.03333333333333333
2021-12-31,Water,TRST,0.03333333333333333
2021-12-31,Water,DGICA,0.03333333333333333
2021-12-31,Water,FWRD,0.03333333333333333
2021-12-31,Water,GSBC,0.03333333333333333
2021-12-31,Water,NKSH,0.03333333333333333
2021-12-31,Water,GWRS,0.03333333333333333
2021-12-31,Water,GBLI,0.03333333333333333
2021-12-31,Water,ATLO,0.03333333333333333
2021-12-31,Water,KFRC,0.03333333333333333
2021-12-31,Water,HCKT,0.03333333333333333
2021-12-31,Water,HRTG,0.03333333333333333
2021-12-31,Water,TTEC,0.03333333333333333
2021-12-31,Water,WTBA,0.03333333333333333
2021-12-31,Water,FRBA,0.03333333333333333
2021-12-31,Water,PROV,0.03333333333333333
2021-12-31,Water,BPRN,0.03333333333333333
2021-12-31,Water,WNEB,0.03333333333333333
2021-12-31,Water,EIG,0.03333333333333333
2021-12-31,Water,HURC,0.03333333333333333
2021-12-31,Water,GLRE,0.03333333333333333
2021-12-31,Water,CSV,0.03333333333333333
2021-12-31,Water,HIFS,0.03333333333333333
2021-12-31,Water,RVSB,0.03333333333333333
2021-12-31,Water,FDBC,0.03333333333333333
2021-12-31,Water,RGCO,0.03333333333333333
2022-01-28,AI Infrastructure,WSBF,0.03333333333333333
2022-01-28,AI Infrastructure,RBB,0.03333333333333333
2022-01-28,AI Infrastructure,FWRD,0.03333333333333333
2022-01-28,AI Infrastructure,PPIH,0.03333333333333333
2022-01-28,AI Infrastructure,KRNY,0.03333333333333333
2022-01-28,AI Infrastructure,OXM,0.03333333333333333
2022-01-28,AI Infrastructure,RELL,0.03333333333333333
2022-01-28,AI Infrastructure,OSG,0.03333333333333333
2022-01-28,AI Infrastructure,VREX,0.03333333333333333
2022-01-28,AI Infrastructure,CCNE,0.03333333333333333
2022-01-28,AI Infrastructure,SILC,0.03333333333333333
2022-01-28,AI Infrastructure,CCOI,0.03333333333333333
2022-01-28,AI Infrastructure,ERII,0.03333333333333333
2022-01-28,AI Infrastructure,CTO,0.03333333333333333
2022-01-28,AI Infrastructure,PDLB,0.03333333333333333
2022-01-28,AI Infrastructure,TG,0.03333333333333333
2022-01-28,AI Infrastructure,CSTE,0.03333333333333333
2022-01-28,AI Infrastructure,STRS,0.03333333333333333
2022-01-28,AI Infrastructure,TRAK,0.03333333333333333
2022-01-28,AI Infrastructure,SSTK,0.03333333333333333
2022-01-28,AI Infrastructure,FRD,0.03333333333333333
2022-01-28,AI Infrastructure,FEIM,0.03333333333333333
2022-01-28,AI Infrastructure,MOMO,0.03333333333333333
2022-01-28,AI Infrastructure,CSIQ,0.03333333333333333
2022-01-28,AI Infrastructure,CLFD,0.03333333333333333
2022-01-28,AI Infrastructure,ASYS,0.03333333333333333
2022-01-28,AI Infrastructure,MX,0.03333333333333333
2022-01-28,AI Infrastructure,CERS,0.03333333333333333
2022-01-28,AI Infrastructure,MITK,0.03333333333333333
2022-01-28,AI Infrastructure,FPH,0.03333333333333333
2022-01-28,Agribusiness,EBF,0.03333333333333333
2022-01-28,Agribusiness,FRPH,0.03333333333333333
2022-01-28,Agribusiness,HURC,0.03333333333333333
2022-01-28,Agribusiness,CZFS,0.03333333333333333
2022-01-28,Agribusiness,FNLC,0.03333333333333333
2022-01-28,Agribusiness,ULH,0.03333333333333333
2022-01-28,Agribusiness,HWBK,0.03333333333333333
2022-01-28,Agribusiness,DSWL,0.03333333333333333
2022-01-28,Agribusiness,SPOK,0.03333333333333333
2022-01-28,Agribusiness,VLGEA,0.03333333333333333
2022-01-28,Agribusiness,TCX,0.03333333333333333
2022-01-28,Agribusiness,MAGN,0.03333333333333333
2022-01-28,Agribusiness,AVD,0.03333333333333333
2022-01-28,Agribusiness,OPBK,0.03333333333333333
2022-01-28,Agribusiness,GLRE,0.03333333333333333
2022-01-28,Agribusiness,ERII,0.03333333333333333
2022-01-28,Agribusiness,EVO,0.03333333333333333
2022-01-28,Agribusiness,UNB,0.03333333333333333
2022-01-28,Agribusiness,NUS,0.03333333333333333
2022-01-28,Agribusiness,CSTE,0.03333333333333333
2022-01-28,Agribusiness,KVHI,0.03333333333333333
2022-01-28,Agribusiness,ISBA,0.03333333333333333
2022-01-28,Agribusiness,VREX,0.03333333333333333
2022-01-28,Agribusiness,JMSB,0.03333333333333333
2022-01-28,Agribusiness,UEIC,0.03333333333333333
2022-01-28,Agribusiness,GASS,0.03333333333333333
2022-01-28,Agribusiness,ULBI,0.03333333333333333
2022-01-28,Agribusiness,DGICB,0.03333333333333333
2022-01-28,Agribusiness,CTO,0.03333333333333333
2022-01-28,Agribusiness,OEC,0.03333333333333333
2022-01-28,Clean Energy,PPIH,0.03333333333333333
2022-01-28,Clean Energy,TTEC,0.03333333333333333
2022-01-28,Clean Energy,WILC,0.03333333333333333
2022-01-28,Clean Energy,SILC,0.03333333333333333
2022-01-28,Clean Energy,BOTJ,0.03333333333333333
2022-01-28,Clean Energy,NECB,0.03333333333333333
2022-01-28,Clean Energy,HCKT,0.03333333333333333
2022-01-28,Clean Energy,DGICA,0.03333333333333333
2022-01-28,Clean Energy,ITIC,0.03333333333333333
2022-01-28,Clean Energy,CBNK,0.03333333333333333
2022-01-28,Clean Energy,GLRE,0.03333333333333333
2022-01-28,Clean Energy,CSV,0.03333333333333333
2022-01-28,Clean Energy,CFFI,0.03333333333333333
2022-01-28,Clean Energy,CIVB,0.03333333333333333
2022-01-28,Clean Energy,FRBA,0.03333333333333333
2022-01-28,Clean Energy,GWRS,0.03333333333333333
2022-01-28,Clean Energy,MRBK,0.03333333333333333
2022-01-28,Clean Energy,NAVI,0.03333333333333333
2022-01-28,Clean Energy,BPRN,0.03333333333333333
2022-01-28,Clean Energy,FNLC,0.03333333333333333
2022-01-28,Clean Energy,ARTNA,0.03333333333333333
