rebalance_date,theme,rank,actual_penalized_distance,null_alpha_distance,placebo_rank_pvalue,n_placebo_ranks
2021-12-31,AI Infrastructure,25,3.254199936137592,2.0859787459111305,0.55,19
2021-12-31,AI Infrastructure,26,3.340982227855987,2.1208982869383393,0.55,19
2021-12-31,AI Infrastructure,27,3.3573175673900164,2.128903750490466,0.5,19
2021-12-31,AI Infrastructure,28,3.3957175177784373,2.14701936837148,0.5,19
2021-12-31,AI Infrastructure,29,3.4267182829569967,2.1060289288563556,0.5263157894736842,18
2021-12-31,AI Infrastructure,30,3.428651035557531,2.1220605512000623,0.5263157894736842,18
2021-12-31,Agribusiness,1,1.3441972048920259,1.296538443210273,0.2857142857142857,20
2021-12-31,Agribusiness,2,1.41783080586436,1.36525455831138,0.19047619047619047,20
2021-12-31,Agribusiness,3,1.7720389701228212,1.4594745583743718,0.42857142857142855,20
2021-12-31,Agribusiness,4,1.9168673723734764,1.4952508335368038,0.5238095238095238,20
2021-12-31,Agribusiness,5,1.941910788737772,1.5011544590176866,0.5714285714285714,20
2021-12-31,Agribusiness,6,1.9617367979665183,1.5338570255613764,0.47619047619047616,20
2021-12-31,Agribusiness,7,1.990015769048574,1.564530189163092,0.42857142857142855,20
2021-12-31,Agribusiness,8,2.043480663318054,1.625220904396674,0.42857142857142855,20
2021-12-31,Agribusiness,9,2.060773238314664,1.6468361728408085,0.42857142857142855,20
2021-12-31,Agribusiness,10,2.0639241468128846,1.6671156914584444,0.42857142857142855,20
2021-12-31,Agribusiness,11,2.116263456348639,1.6916381861518206,0.42857142857142855,20
2021-12-31,Agribusiness,12,2.122606839112781,1.7019137712473171,0.42857142857142855,20
2021-12-31,Agribusiness,13,2.131068702142218,1.7054422528035251,0.38095238095238093,20
2021-12-31,Agribusiness,14,2.150841714471307,1.7298077486829864,0.38095238095238093,20
2021-12-31,Agribusiness,15,2.2024803662031824,1.7713679968045564,0.42857142857142855,20
2021-12-31,Agribusiness,16,2.20350295277344,1.796471646926814,0.2857142857142857,20
2021-12-31,Agribusiness,17,2.2187636494138827,1.807152346428476,0.38095238095238093,20
2021-12-31,Agribusiness,18,2.2459830159768397,1.857016629158813,0.42857142857142855,20
2021-12-31,Agribusiness,19,2.2545980437726274,1.9194416837367236,0.42857142857142855,20
2021-12-31,Agribusiness,20,2.385300790571573,1.9212258556190265,0.42857142857142855,20
2021-12-31,Agribusiness,21,2.408847609697296,1.9800189761986946,0.42857142857142855,20
2021-12-31,Agribusiness,22,2.4605755663815043,2.004229559369007,0.47619047619047616,20
2021-12-31,Agribusiness,23,2.540216734286788,2.0596256641230974,0.47619047619047616,20
2021-12-31,Agribusiness,24,2.6767385692163543,2.0696412291533757,0.5714285714285714,20
2021-12-31,Agribusiness,25,2.705931294731247,2.0624895676890205,0.6,19
2021-12-31,Agribusiness,26,2.71765644832606,2.1761436219311063,0.55,19
2021-12-31,Agribusiness,27,2.7897460150755107,2.183470897007457,0.6,19
2021-12-31,Agribusiness,28,2.8154221365461414,2.236568718070993,0.55,19
2021-12-31,Agribusiness,29,2.8187283219400134,2.259260579983828,0.55,19
2021-12-31,Agribusiness,30,2.832045988412054,2.3057427935195594,0.55,19
2021-12-31,Clean Energy,1,1.0461673811273833,1.2867397442825956,0.09523809523809523,20
2021-12-31,Clean Energy,2,1.1144008654929523,1.394307675323318,0.09523809523809523,20
2021-12-31,Clean Energy,3,1.1532435495976272,1.413571319951346,0.047619047619047616,20
2021-12-31,Clean Energy,4,1.172099259391533,1.5078678489922157,0.047619047619047616,20
2021-12-31,Clean Energy,5,1.1730903644862498,1.5175401146458702,0.047619047619047616,20
2021-12-31,Clean Energy,6,1.1771445852232705,1.5253690831197881,0.047619047619047616,20
2021-12-31,Clean Energy,7,1.1931071107488596,1.5707667185938603,0.047619047619047616,20
2021-12-31,Clean Energy,8,1.1985451482983926,1.6033992548225384,0.047619047619047616,20
2021-12-31,Clean Energy,9,1.204966099323217,1.605617997821736,0.047619047619047616,20
2021-12-31,Clean Energy,10,1.2067972196331533,1.7050724453218735,0.047619047619047616,20
2021-12-31,Clean Energy,11,1.2124389191907567,1.716296754550571,0.047619047619047616,20
