rebalance_date,theme_1,theme_2,median_relative_distance,minimum_relative_distance,maximum_cosine,median_cosine
2021-12-31,US Infrastructure,Agribusiness,1.0225140205719714,0.7501447790871396,0.5983533973828525,0.41856203861652075
2021-12-31,US Infrastructure,Critical Minerals,1.204504044637829,0.8066372035243221,0.5679146015714941,0.322140881595012
2021-12-31,US Infrastructure,Water,0.807972512157189,0.6848842587138434,0.6806198200731399,0.6241400569217149
2021-12-31,US Infrastructure,Timber & Forestry,1.1164494472265816,0.9090312261521819,0.4835535244069385,0.4074053733506031
2021-12-31,Agribusiness,Critical Minerals,1.4002609356694642,0.8957651374616755,0.8135500774746905,0.37903756026316854
2021-12-31,Agribusiness,Water,1.1129527419617369,0.6054189570590759,0.7809151775950154,0.20378221075903333
2021-12-31,Agribusiness,Timber & Forestry,0.6286380185195808,0.5693890256947362,0.7450313392234503,0.7093250520947514
2021-12-31,Critical Minerals,Water,1.5800920968826786,0.8584735591646083,0.700689780723553,0.5386835002060109
2021-12-31,Critical Minerals,Timber & Forestry,0.8885412832565033,0.8415009201475958,0.7437353210857962,0.6470765946972621
2021-12-31,Water,Timber & Forestry,1.1140873779932807,0.7766337476278596,0.6084559876567768,0.4099036055420023
2022-01-28,Robotics & AI,AI Infrastructure,1.3672215478876042,0.6082962909545189,0.8613406483183614,0.33032375554446874
